Algorithm,InputSize,ChunkSize,Case,TimeSeconds
ExternalMerge,10000,5,Random,0.0102321
ExternalMerge,10000,5,SortedAsc,0.00499627
ExternalMerge,10000,5,SortedDes,0.00486023
ExternalMerge,10000,100,Random,0.00509699
ExternalMerge,10000,100,SortedAsc,0.00424208
ExternalMerge,10000,100,SortedDes,0.00424713
ExternalMerge,10000,1000,Random,0.00498023
ExternalMerge,10000,1000,SortedAsc,0.00414541
ExternalMerge,10000,1000,SortedDes,0.00418776
ExternalMerge,10000,2000,Random,0.00501677
ExternalMerge,10000,2000,SortedAsc,0.00411273
ExternalMerge,10000,2000,SortedDes,0.00415057
ExternalMerge,10000,5000,Random,0.00524613
ExternalMerge,10000,5000,SortedAsc,0.00440595
ExternalMerge,10000,5000,SortedDes,0.00444243
ExternalMerge,50000,5,Random,0.0321702
ExternalMerge,50000,5,SortedAsc,0.0265564
ExternalMerge,50000,5,SortedDes,0.0262752
ExternalMerge,50000,100,Random,0.027563
ExternalMerge,50000,100,SortedAsc,0.0233366
ExternalMerge,50000,100,SortedDes,0.0226728
ExternalMerge,50000,1000,Random,0.0272781
ExternalMerge,50000,1000,SortedAsc,0.0220225
ExternalMerge,50000,1000,SortedDes,0.0219396
ExternalMerge,50000,2000,Random,0.0273218
ExternalMerge,50000,2000,SortedAsc,0.0221376
ExternalMerge,50000,2000,SortedDes,0.0222314
ExternalMerge,50000,5000,Random,0.0291916
ExternalMerge,50000,5000,SortedAsc,0.0242381
ExternalMerge,50000,5000,SortedDes,0.0258637
ExternalMerge,100000,5,Random,0.0671276
ExternalMerge,100000,5,SortedAsc,0.0537696
ExternalMerge,100000,5,SortedDes,0.0529889
ExternalMerge,100000,100,Random,0.0591583
ExternalMerge,100000,100,SortedAsc,0.047253
ExternalMerge,100000,100,SortedDes,0.0468895
ExternalMerge,100000,1000,Random,0.0559105
ExternalMerge,100000,1000,SortedAsc,0.0471859
ExternalMerge,100000,1000,SortedDes,0.0466145
ExternalMerge,100000,2000,Random,0.0559228
ExternalMerge,100000,2000,SortedAsc,0.0452142
ExternalMerge,100000,2000,SortedDes,0.0467764
ExternalMerge,100000,5000,Random,0.0596578
ExternalMerge,100000,5000,SortedAsc,0.0492635
ExternalMerge,100000,5000,SortedDes,0.0485681
