Variant,InputSize,Case,TimeSeconds
QuickFirst,10000,Random,0.00105579
QuickLast,10000,Random,0.00105814
QuickMiddle,10000,Random,0.00101659
QuickRandom,10000,Random,0.00114215
QuickFirst,10000,SortedAsc,0.0298114
QuickLast,10000,SortedAsc,0.0269934
QuickMiddle,10000,SortedAsc,0.000180913
QuickRandom,10000,SortedAsc,0.000330847
QuickFirst,10000,SortedDes,0.0214176
QuickLast,10000,SortedDes,0.0219492
QuickMiddle,10000,SortedDes,0.000206792
QuickRandom,10000,SortedDes,0.000372906
QuickFirst,50000,Random,0.00406322
QuickLast,50000,Random,0.00402701
QuickMiddle,50000,Random,0.00402324
QuickRandom,50000,Random,0.00438205
QuickFirst,50000,SortedAsc,0.631688
QuickLast,50000,SortedAsc,0.6404
QuickMiddle,50000,SortedAsc,0.000925434
QuickRandom,50000,SortedAsc,0.00164263
QuickFirst,50000,SortedDes,0.512251
QuickLast,50000,SortedDes,0.520045
QuickMiddle,50000,SortedDes,0.0010253
QuickRandom,50000,SortedDes,0.00173632
QuickFirst,100000,Random,0.00801833
QuickLast,100000,Random,0.00780532
QuickMiddle,100000,Random,0.00795115
QuickRandom,100000,Random,0.00872693
QuickFirst,100000,SortedAsc,2.48726
QuickLast,100000,SortedAsc,2.54321
QuickMiddle,100000,SortedAsc,0.00182753
QuickRandom,100000,SortedAsc,0.00338208
QuickFirst,100000,SortedDes,2.05677
QuickLast,100000,SortedDes,2.07888
QuickMiddle,100000,SortedDes,0.00206875
QuickRandom,100000,SortedDes,0.00367506
